Highest Charting Position,Song Name,Streams,Artist,Artist Followers,Genre,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Valence
56,Selfish Love (with Selena Gomez),"6,020,785",DJ Snake,7408249,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance']",74,0.723,0.646,-7.973,0.102,0.0206,0.0994,0.443
12,Snowman,"5,454,807",Sia,20528724,"['australian dance', 'australian pop', 'dance pop', 'pop']",77,0.716,0.512,-6.257,0.0331,0.483,0.0928,0.326
168,DAYWALKER! (feat. CORPSE),"5,439,646",Machine Gun Kelly,3868320,"['ohio hip hop', 'pop rap']",74,0.632,0.922,-2.173,0.0794,0.00558,0.0927,0.497
19,La Curiosidad,"5,198,514","Jay Wheeler, DJ Nelson, Myke Towers",1650912,"['latin', 'reggaeton', 'trap latino']",82,0.845,0.677,-4.798,0.136,0.269,0.108,0.68
86,All We Got (feat. KIDDO),"5,156,937",Robin Schulz,2786366,"['dance pop', 'deep euro house', 'deep house', 'edm', 'german dance', 'pop', 'pop dance', 'tropical house']",74,0.504,0.76,-4.246,0.0426,0.286,0.151,0.64
6,Say So,"5,103,528",Doja Cat,8671649,"['dance pop', 'pop']",82,0.787,0.673,-4.583,0.159,0.264,0.0904,0.779
157,Hope,"5,085,527",XXXTENTACION,29566516,"['emo rap', 'miami hip hop']",84,0.592,0.457,-6.081,0.0603,0.661,0.146,0.225
149,The Less I Know The Better,"5,084,635",Tame Impala,5064200,"['australian psych', 'neo-psychedelic']",84,0.64,0.74,-4.083,0.0284,0.0115,0.167,0.785
109,I Feel It Coming,"5,079,857","The Weeknd, Daft Punk",35340069,"['canadian contemporary r&b', 'canadian pop', 'pop']",80,0.773,0.819,-5.946,0.118,0.428,0.0679,0.585
12,Mood Swings (feat. Lil Tjay),"5,068,349",Pop Smoke,6852509,['brooklyn drill'],82,0.48,0.602,-6.335,0.368,0.487,0.0848,0.269
123,Someone To You,"5,054,881",BANNERS,419151,"['indie cafe pop', 'indie poptimism', 'modern rock', 'pop', 'pop rock']",79,0.52,0.903,-5.497,0.042,0.00517,0.254,0.652
198,To the Bone,"5,052,557",Pamungkas,1643882,['indonesian pop'],81,0.668,0.727,-6.55,0.027,0.514,0.1,0.939
4,How You Like That,"5,023,592",BLACKPINK,23848461,"['k-pop', 'k-pop girl group']",79,0.812,0.761,-5.222,0.0812,0.0465,0.0601,0.344
200,LOST,"5,013,851","NF, Hopsin",5831194,"['hip hop', 'pop rap', 'rap']",66,0.637,0.912,-3.123,0.308,0.352,0.0657,0.451
158,VOCE,"5,510,906",Madame,1251372,[],0,0.615,0.834,-5.471,0.0667,0.105,0.157,0.341
64,AP - Music from the film Boogie,"5,462,333",Pop Smoke,6852509,['brooklyn drill'],75,0.751,0.744,-6.859,0.177,0.152,0.252,0.634
166,Life's A Mess II (with Clever & Post Malone),"5,393,459",Juice WRLD,19102888,"['chicago rap', 'melodic rap']",72,0.53,0.37,-9.989,0.0279,0.806,0.112,0.701
170,CHIAMAMI PER NOME,"5,321,946","Francesca Michielin, Fedez",568711,"['italian adult pop', 'italian indie pop', 'italian pop', 'italian pop rock']",67,0.641,0.636,-4.318,0.0414,0.289,0.125,0.285
54,Antes,"5,232,377","Anuel AA, Ozuna",18306226,"['latin', 'reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino']",73,0.817,0.737,-5.453,0.102,0.046,0.092,0.67
175,Mona Lisa,"5,208,787","Booba, JSX",2161609,"['french hip hop', 'old school rap francais', 'pop urbaine', 'rap conscient']",72,0.784,0.529,-7.681,0.0742,0.683,0.118,0.246
180,Real As It Gets (feat. EST Gee),"5,170,861",Lil Baby,7816213,"['atl hip hop', 'atl trap', 'rap', 'trap']",74,0.779,0.705,-5.891,0.163,0.00471,0.0971,0.196
24,Se Te Nota (with Guaynaa),"5,168,240",Lele Pons,786461,"['latin pop', 'viral pop']",77,0.905,0.686,-3.152,0.0664,0.0907,0.266,0.963
91,Head Shoulders Knees & Toes (feat. Norma Jean Martine),"5,093,408","Ofenbach, Quarterhead",432511,"['edm', 'new french touch', 'pop dance', 'tropical house']",79,0.798,0.828,-5.36,0.193,0.0247,0.121,0.6
152,Star Shopping,"5,073,657",Lil Peep,7535054,"['emo rap', 'lgbtq+ hip hop']",82,0.585,0.471,-9.934,0.0616,0.0967,0.115,0.323
61,Electric Love,"5,060,903",BØRNS,1027085,"['modern alternative rock', 'modern rock', 'pop']",83,0.611,0.797,-7.627,0.0533,0.00543,0.26,0.518
112,Maniac,"5,044,929",Conan Gray,3799104,"['alt z', 'bedroom pop', 'electropop', 'indie pop', 'pop', 'post-teen pop']",82,0.628,0.639,-5.46,0.0435,0.00162,0.354,0.493
74,Only Wanna Be With You - Pokémon 25 Version,"7,464,020",Post Malone,33663701,"['dfw rap', 'melodic rap', 'rap']",72,0.47,0.709,-4.563,0.0299,0.00124,0.302,0.247
38,test drive,"6,591,829",Ariana Grande,67208170,"['dance pop', 'pop', 'post-teen pop']",71,0.698,0.708,-4.943,0.0454,0.0251,0.124,0.322
42,Tú Me Dejaste De Querer,"5,874,460","C. Tangana, Niño de Elche, La Húngara",1453875,['urbano espanol'],75,0.823,0.723,-4.778,0.229,0.311,0.0998,0.505
46,SO DONE,"5,440,707",The Kid LAROI,2238190,['australian hip hop'],74,0.719,0.598,-6.254,0.077,0.232,0.115,0.303
35,Jeans,"5,145,966",Justin Quiles,2897862,"['latin', 'reggaeton', 'trap latino']",75,0.807,0.656,-4.395,0.105,0.0165,0.0693,0.89
2,ROXANNE,"5,124,742",Arizona Zervas,621200,"['pop rap', 'rhode island rap']",82,0.621,0.601,-5.616,0.148,0.0522,0.46,0.457
83,rockstar (feat. 21 Savage),"5,115,990",Post Malone,33663701,"['dfw rap', 'melodic rap', 'rap']",83,0.585,0.52,-6.136,0.0712,0.124,0.131,0.129
185,Párteme La Cara,"5,079,580","C. Tangana, Ed Maverick",1453875,['urbano espanol'],70,0.761,0.296,-10.22,0.0484,0.551,0.134,0.579
80,Without Me,"5,016,283",Halsey,15663384,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop', 'post-teen pop']",79,0.752,0.488,-7.05,0.0705,0.297,0.0936,0.533
33,BOOKER T,"4,995,965",Bad Bunny,36177712,"['latin', 'reggaeton', 'trap latino']",77,0.883,0.6,-7.188,0.37,0.114,0.0931,0.691
5,Intentions (feat. Quavo),"4,994,138",Justin Bieber,48544923,"['canadian pop', 'pop', 'post-teen pop']",77,0.806,0.546,-6.637,0.0575,0.3,0.102,0.874
49,Sofia,"4,982,892",Clairo,2722638,"['bedroom pop', 'indie pop', 'pop']",81,0.744,0.619,-9.805,0.039,0.598,0.231,0.641
176,Photograph,"4,974,880",Ed Sheeran,83337783,"['pop', 'uk pop']",83,0.614,0.379,-10.48,0.0476,0.607,0.0986,0.201
20,"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix","6,162,453",Ariana Grande, , , , , , , , , , 
140,Madonna,"5,936,752","Bausa, Apache 207",961181,"['german hip hop', 'german pop']",68,0.806,0.565,-8.96,0.113,0.47,0.0824,0.311
144,CLOUDS,"5,897,983",NF,5831194,"['hip hop', 'pop rap', 'rap']",69,0.793,0.65,-3.944,0.397,0.371,0.854,0.809
12,Wonder,"5,535,339",Shawn Mendes,1251372,[],0,0.333,0.637,-4.904,0.0581,0.131,0.149,0.132
50,Skin,"5,497,942",Sabrina Carpenter,3689546,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop', 'viral pop']",76,0.557,0.457,-5.372,0.0335,0.428,0.0567,0.328
62,Tyler Herro,"5,168,107",Jack Harlow,1053324,"['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']",76,0.794,0.756,-7.16,0.136,0.11,0.247,0.775
173,Remember That Night?,"5,116,325",Sara Kays,251549,"['alt z', 'indie cafe pop', 'modern indie pop', 'pop', 'social media pop']",78,0.679,0.61,-10.936,0.0305,0.585,0.156,0.554
128,Lifestyle (feat. Adam Levine),"5,059,891","Jason Derulo, Maroon 5",9778632,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",78,0.749,0.674,-5.128,0.0366,0.0209,0.169,0.711
177,Fly Away,"5,053,713",Tones And I,2820477,"['australian pop', 'pop']",79,0.806,0.513,-6.208,0.0685,0.217,0.217,0.503
37,Despeinada,"5,004,462","Ozuna, Camilo",29238936,"['latin', 'puerto rican pop', 'reggaeton', 'trap latino']",75,0.734,0.775,-3.855,0.0614,0.186,0.123,0.72
14,motive (with Doja Cat),"4,986,037",Ariana Grande,67208170,"['dance pop', 'pop', 'post-teen pop']",80,0.789,0.742,-5.664,0.0652,0.0681,0.166,0.661
28,I Don't Care (with Justin Bieber),"4,984,399",Ed Sheeran,83337783,"['pop', 'uk pop']",80,0.798,0.675,-5.041,0.0442,0.0912,0.0894,0.842
14,"Ay, DiOs Mío!","5,344,862",KAROL G,1251372,[],0,0.715,0.706,-4.423,0.195,0.496,0.106,0.522
83,"Nathy Peluso: Bzrp Music Sessions, Vol. 36","5,232,509","Bizarrap, Nathy Peluso",3134041,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino']",77,0.65,0.655,-3.71,0.405,0.25,0.0691,0.735
17,Hawái - Remix,"5,163,323","Maluma, The Weeknd",26784251,"['latin', 'reggaeton', 'reggaeton colombiano']",77,0.766,0.788,-3.128,0.312,0.105,0.142,0.609
22,Tattoo - Remix with Camilo,"5,120,753",Rauw Alejandro,6096559,"['puerto rican pop', 'trap latino']",78,0.848,0.637,-5.132,0.156,0.0413,0.0521,0.698
151,Meia Noite (Você tem meu Whatsapp),"5,044,252",Tarcísio do Acordeon,1200248,[],67,0.709,0.816,-4.787,0.0346,0.685,0.146,0.921
143,Moonlight,"5,003,825",XXXTENTACION,29566516,"['emo rap', 'miami hip hop']",83,0.921,0.537,-5.723,0.0804,0.556,0.102,0.711
182,Thinking out Loud,"4,995,623",Ed Sheeran,83337783,"['pop', 'uk pop']",82,0.781,0.445,-6.061,0.0295,0.474,0.184,0.591
2,Toosie Slide,"4,966,878",Drake,56327031,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",78,0.834,0.454,-9.75,0.201,0.321,0.114,0.837
167,Earned It (Fifty Shades Of Grey),"4,929,647",The Weeknd,35340069,"['canadian contemporary r&b', 'canadian pop', 'pop']",69,0.659,0.291,-8.275,0.0348,0.405,0.0771,0.406
9,ily (i love you baby) (feat. Emilee),"4,908,929",Surf Mesa,132855,['tropical house'],81,0.674,0.774,-7.567,0.0892,0.0686,0.393,0.33
193,Wonderwall,"4,902,737",Oasis,6478565,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']",78,0.375,0.893,-4.097,0.0406,0.000509,0.187,0.434
181,Everybody Dies In Their Nightmares,"4,847,224",XXXTENTACION,29566516,"['emo rap', 'miami hip hop']",83,0.734,0.57,-7.066,0.133,0.847,0.112,0.689
27,Bad Boy (with Young Thug),"6,011,642",Juice WRLD,19102888,"['chicago rap', 'melodic rap']",76,0.697,0.674,-6.326,0.0533,0.00215,0.138,0.198
19,Lo Vas A Olvidar (with ROSALÍA),"5,963,380",Billie Eilish,47061119,"['electropop', 'pop']",68,0.343,0.243,-14.66,0.0777,0.721,0.0668,0.032
152,Floating Through Space,"5,579,697","Sia, David Guetta",20528724,"['australian dance', 'australian pop', 'dance pop', 'pop']",78,0.575,0.844,-4.89,0.072,0.00172,0.114,0.277
157,Can't Feel My Face,"5,479,407",The Weeknd,35340069,"['canadian contemporary r&b', 'canadian pop', 'pop']",80,0.705,0.769,-5.526,0.0425,0.113,0.105,0.583
89,You (with Marshmello & Vance Joy),"5,342,938",benny blanco,804613,"['electropop', 'pop', 'pop rap']",73,0.668,0.563,-6.433,0.0522,0.0493,0.119,0.305
168,Call Out My Name,"5,233,359",The Weeknd,35340069,"['canadian contemporary r&b', 'canadian pop', 'pop']",80,0.461,0.593,-4.954,0.0356,0.17,0.307,0.175
14,Midnight Sky,"5,208,100",Miley Cyrus,15778531,"['dance pop', 'pop', 'post-teen pop']",76,0.705,0.814,-5.466,0.0346,0.00115,0.203,0.259
175,Pressure (feat. Tove Lo),"5,197,587",Martin Garrix,14921269,"['dance pop', 'dutch edm', 'edm', 'pop', 'pop dance', 'progressive house', 'tropical house']",76,0.859,0.558,-8.991,0.0902,0.659,0.124,0.357
140,Can You Feel My Heart,"5,092,250",Bring Me The Horizon,3912138,"['melodic metalcore', 'metalcore', 'rock', 'uk metalcore']",77,0.15,0.859,-2.827,0.0595,0.00201,0.387,0.354
167,Agua de Jamaica,"5,072,462",Maluma,26784251,"['latin', 'reggaeton', 'reggaeton colombiano']",75,0.664,0.665,-3.616,0.0879,0.123,0.411,0.726
162,Mds,"5,046,418","Kawe, Mc Lele JP",444736,"['brazilian hip hop', 'funk ostentacao']",72,0.885,0.561,-5.331,0.249,0.261,0.121,0.644
18,Heartless,"4,995,578",The Weeknd,35340069,"['canadian contemporary r&b', 'canadian pop', 'pop']",77,0.537,0.746,-5.507,0.15,0.0236,0.156,0.252
20,pov,"4,906,738",Ariana Grande,67208170,"['dance pop', 'pop', 'post-teen pop']",79,0.487,0.534,-5.664,0.0555,0.36,0.1,0.173
138,Be Alright,"4,900,492",Dean Lewis,1692635,"['australian pop', 'indie cafe pop', 'pop', 'pop rock', 'post-teen pop']",80,0.553,0.586,-6.319,0.0362,0.697,0.0813,0.443
174,Cry Baby (feat. DaBaby),"4,884,711",Megan Thee Stallion,4794212,"['houston rap', 'pop', 'pop rap', 'trap queen']",76,0.957,0.437,-7.882,0.359,0.00402,0.219,0.616
47,Mi Cuarto,"4,873,380",Jerry Di,149682,"['cubaton', 'dominican pop', 'pop venezolano', 'reggaeton', 'reggaeton flow', 'trap latino']",76,0.854,0.525,-4.426,0.214,0.819,0.146,0.63
99,Ohne Dich,"5,487,774","KASIMIR1441, badmómzjay, WILDBWOYS",197320,"['german alternative rap', 'german hip hop', 'german trap', 'tekk']",70,0.807,0.535,-6.519,0.349,0.191,0.125,0.925
176,"Gravity (feat. Tyler, The Creator)","5,136,895","Brent Faiyaz, DJ Dahi",1726216,"['dmv rap', 'pop', 'r&b', 'rap']",76,0.539,0.615,-8.746,0.252,0.173,0.144,0.493
55,Vibez,"5,071,718",ZAYN,16655692,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",69,0.635,0.659,-7.499,0.116,0.242,0.105,0.34
103,"All I Want - From ""High School Musical: The Musical: The Series""","5,052,801",Olivia Rodrigo,6313514,['pop'],76,0.376,0.43,-6.585,0.0328,0.0902,0.0912,0.129
45,Daisy,"5,030,670",Ashnikko,1248499,"['electropop', 'escape room', 'pop']",76,0.834,0.663,-6.143,0.133,0.235,0.372,0.774
83,Wasted On You,"4,948,563",Morgan Wallen,2147875,['contemporary country'],76,0.505,0.657,-5.24,0.0318,0.373,0.126,0.252
13,La Jeepeta - Remix,"4,942,545","Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka",2127531,"['latin', 'reggaeton', 'trap latino']",75,0.815,0.715,-4.65,0.207,0.3,0.091,0.786
137,Los Dioses,"5,929,507","Anuel AA, Ozuna",18306226,"['latin', 'reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino']",73,0.817,0.737,-5.453,0.102,0.046,0.092,0.67
132,Si Me Tomo Una Cerveza,"5,427,534","Migrantes, Alico",114348,['cumbia pop'],74,0.72,0.613,-6.899,0.0572,0.185,0.155,0.857
90,Somebody’s Problem,"5,332,437",Morgan Wallen,2147875,['contemporary country'],70,0.657,0.54,-7.675,0.0287,0.662,0.123,0.625
66,De Una Vez,"5,186,567",Selena Gomez,28931149,"['dance pop', 'pop', 'post-teen pop']",70,0.659,0.479,-6.79,0.2,0.152,0.268,0.0395
